,MDS1,MDS2,SVVS_Labels,True_labels,EM_labels
D2.070,0.115977366,0.182595187,2,2,2
C2.064,0.11648867,-0.079463287,1,1,1
C2.116,0.117378398,-0.159056984,1,1,1
C2.023,0.118406738,-0.105688334,1,1,1
D2.074,0.11924731,0.177217925,2,2,2
C2.003,0.123253162,-0.155499078,1,1,1
D2.069,0.129381401,0.20027505,2,2,2
D2.077,0.130579676,0.163496422,2,2,2
D2.051,0.130883411,0.20647433,2,2,2
D2.169,0.131545363,0.190680413,2,2,2
D2.093,0.139945905,0.177292444,2,2,2
D2.146,0.143219421,0.189311206,2,2,2
C2.076,0.143562366,-0.115245334,1,1,1
D2.031,0.144826562,0.170657161,2,2,2
D2.200,0.145524456,0.167983249,2,2,2
C2.109,0.145731347,-0.09803736,1,1,1
D2.018,0.146184842,0.17996327,2,2,2
D2.091,0.148056579,0.183938978,2,2,2
D2.013,0.148695045,0.2061794,2,2,2
D2.120,0.14903618,0.178687587,2,2,2
D2.002,0.150066611,0.163616949,2,2,2
D2.006,0.156106957,0.146003977,2,2,2
C2.118,0.157160836,-0.127516528,1,1,1
C2.124,0.157695281,-0.14457797,1,1,1
D2.019,0.158525255,0.163721065,2,2,2
D2.043,0.160461374,0.155418959,2,2,2
C2.127,0.161434952,-0.044307568,1,1,1
D2.150,0.162570259,0.191243624,2,2,2
C2.119,0.165007732,-0.16252817,1,1,1
D2.098,0.166221988,0.139588296,2,2,2
D2.026,0.167737475,0.185810733,2,2,2
D2.100,0.170605691,0.171916199,2,2,2
D2.005,0.173072402,0.212544885,2,2,2
C2.153,0.173783896,-0.038728929,1,1,1
D2.144,0.175046101,0.171221359,2,2,2
D2.038,0.180868462,0.12330286,2,2,2
D2.087,0.181904924,0.163120945,2,2,2
D2.003,0.182167701,0.120777298,2,2,2
D2.050,0.183185689,0.170798363,2,2,2
C2.090,0.18686934,-0.218605866,1,1,1
D2.097,0.196796048,0.10866497,2,2,2
D2.044,0.204135325,0.112669781,2,2,2
D2.049,0.205635976,0.102251977,2,2,2
C2.161,0.208413555,0.114018176,2,2,2
C2.194,0.209195,-0.007691882,2,2,1
C2.014,0.214059748,0.042656401,2,2,1
C2.007,0.218131331,-0.221450371,1,1,1
C2.114,0.21952678,-0.177977943,1,1,1
C2.179,0.22191231,0.03468416,2,2,1
D2.001,0.223759248,0.103692904,2,2,2
C2.111,0.235915887,0.017034717,2,2,1
D2.052,0.236704589,0.080681648,2,2,1
D2.145,0.236746346,0.118752197,2,2,2
C2.195,0.243159338,-0.245014298,1,1,1
C2.186,0.24407663,-0.210682896,1,1,1
C2.132,0.256288331,0.035161045,2,2,1
C2.122,0.258574421,-0.022232313,2,2,1
C2.025,0.261583512,-0.168810902,1,1,1
C2.139,0.264118207,-0.041449974,2,2,1
C2.106,0.2683138,0.022414594,2,2,1
C2.154,0.271712858,-0.028899024,2,2,1
C2.105,0.276687298,-0.186998663,1,1,1
C2.002,0.276908615,-0.269287976,1,1,1
C2.181,0.277208883,-0.225076179,1,1,1
C2.160,0.288975036,-0.001696534,2,2,1
C2.107,0.292411902,0.016322251,2,2,1
C2.131,0.299702143,-0.03148251,2,2,1
C2.196,0.311782433,-0.051805844,2,2,1
C2.065,0.318587076,-0.023141156,2,2,1
C2.103,0.346079164,-0.005316305,2,2,1
C2.136,0.359193492,-0.031486699,2,2,1
C2.022,0.390159356,-0.049227399,2,2,1
C2.039,0.395572686,-0.091059753,2,2,1
C2.135,0.404393902,-0.01168674,2,2,1
C2.052,0.507726324,-0.065385555,2,2,1
